*** 1 - 10 (/course/187382/spanish-adverbs-7/1/)	
no	"no, not"
más	"most, more, other"
también	"also, too, as well"
muy	"very, too, much"
ya	"already, now"
sólo	"only, just, alone"
bien	"well, good, properly"
tanto	"so much, so often"
tan	"so, this, that"
así	"so, thus, thereby, like this"
*** 11 - 20 (/course/187382/spanish-adverbs-7/2/)	
hoy	"today, now, nowadays"
ahora	"now, these days, right now"
menos	"less, least, minus"
siempre	"always, ever, forever"
entonces	"then, now, so"
luego	"then, later, next"
aquí	"here, now"
poco	"little, few, moderately"
aún	"even, still, yet"
además	"besides, in addition, furthermore"
*** 21 - 30 (/course/187382/spanish-adverbs-7/3/)	
casi	"nearly, almost, quasi"
mucho	"lot, a lot, much"
después	"after, then, afterwards"
allí	"there, then"
nunca	"never, ever"
ayer	yesterday
incluso	"even, including"
antes	"before, formerly, rather"
todavía	"yet, still, even so"
sí	yes
*** 31 - 40 (/course/187382/spanish-adverbs-7/4/)	
como	"like, as, how"
especialmente	"especially, specially, particularly"
actualmente	"now, nowadays, actually"
pronto	"soon, early, quickly"
tarde	late
cuanto	as soon as
finalmente	"finally, at last, last"
bastante	"enough, quite, rather"
demasiado	"too much, too, overly"
tampoco	"either, neither, nor"
*** 41 - 50 (/course/187382/spanish-adverbs-7/5/)	
allá	"there, over there, sometime"
realmente	"really, truly, actually"
apenas	"just, hardly, scarcely"
posteriormente	"later, afterwards, subsequently"
principalmente	"mostly, principally, mainly"
solamente	"only, alone, solely"
aun	"even, still, yet"
adelante	"forward, ahead, onward"
asimismo	"additionally, also, as well"
siquiera	"at least, even"
*** 51 - 60 (/course/187382/spanish-adverbs-7/6/)	
quizá	"perhaps, maybe"
precisamente	"precisely, just, accurately"
totalmente	"completely, entirely, totally"
completamente	"fully, completely, full"
ahí	"there, then"
simplemente	"simply, merely"
jamás	"never, ever"
ni	neither
directamente	"directly, right, straight"
probablemente	"probably, likely, presumably"
*** 61 - 70 (/course/187382/spanish-adverbs-7/7/)	
claramente	"clear, clearly, plainly"
aproximadamente	"approximately, roughly, about"
atrás	"behind, back, ago"
rápidamente	"quickly, rapidly, swiftly"
únicamente	"only, solely, just"
generalmente	generally
arriba	"up, above, upstairs"
inmediatamente	"immediately, at once, straight away"
lejos	"far, away, afar"
