*** 1 - 10 (/course/185945/spanish-adjectives/1/)	
primero	primary
nuevo	"new, novel"
gran	"great, large, big"
último	"ultimate, last, latest"
político	"political, in-law"
segundo	second
español	Spanish
grande	"great, big, large"
bueno	good
europeo	European
*** 11 - 20 (/course/185945/spanish-adjectives/2/)	
solo	"alone, single, one"
principal	principal
único	"unique, sole"
alto	"tall, high, loud"
externo	external
económico	"economic, economical"
llamado	"called, named, so-called"
necesario	necessary
público	public
conocido	"known, noted, familiar"
*** 21 - 30 (/course/185945/spanish-adjectives/3/)	
nacional	"national, domestic"
antiguo	"ancient, former, old"
largo	"long, lengthy"
internacional	international
próximo	"near, next, forthcoming"
humano	"human, humane"
propio	"own, proper, oneself"
tercero	third
común	"common, mutual, communal"
anterior	"anterior, previous, prior"
*** 31 - 40 (/course/185945/spanish-adjectives/4/)	
militar	military
pasado	"past, last, old-fashioned"
francés	French
especial	"special, particular, fussy"
fuerte	"strong, hard, powerful"
menor	"minor, less, smaller"
total	"total, entire, overall"
real	"real, royal, actual, true"
libre	free; unoccupied
oficial	"official, formal, time-served"
*** 41 - 50 (/course/185945/spanish-adjectives/5/)	
escrito	"written, composed"
local	local
particular	"particular, individual, special"
hecho	done
verdadero	"true, real, actual"
viejo	"old, aged, worn out"
negro	"black, brown"
práctico	"practical, handy, useful"
blanco	"white, target, pale"
alemán	German
*** 51 - 60 (/course/185945/spanish-adjectives/6/)	
situado	"situated, located"
numeroso	"numerous, large"
bajo	"low, lower, bass"
superior	"superior, higher, upper"
central	"central, main, principal"
histórico	"historical, historic"
máximo	"maximum, top, most"
británico	British
seguro	"secure, sure, safe"
completo	"complete, full, thorough"
*** 61 - 70 (/course/185945/spanish-adjectives/7/)	
financiero	"financial, financier, financing"
diferente	"different, distinct, strange"
capaz	"capable, able, apt"
joven	"young, youthful, youth"
abierto	"open, opened, ending in a vowel"
malo	"bad, wrong, evil"
comercial	"commercial, trade, trading"
amplio	"large, wide, widespread"
grave	"grave, serious, severe"
religioso	religious
*** 71 - 80 (/course/185945/spanish-adjectives/8/)	
privado	"private, deprived"
cultural	cultural
relativo	"relative, relating, minor"
relacionado	"related, associated, connected"
determinado	"determinate, determined, specific"
directo	"direct, straight, non-stop"
original	"original, un-dubbed, innovative"
similar	similar
basado	based
exterior	"external, exterior, outer"
*** 81 - 90 (/course/185945/spanish-adjectives/9/)	
concreto	"concrete, particular, actual"
moderno	"modern, trendy, latest"
claro	"light, clear, bright"
famoso	"famous, renowned, celebrated"
lleno	"filled, full, packed"
positivo	"positive, (plus), affirmative"
suficiente	"sufficient, ample, enough"
jurídico	"legal, juridical"
comunitario	"community (related), of the European Community, joint"
profundo	"profound, deep"
*** 91 - 100 (/course/185945/spanish-adjectives/10/)	
interno	"internal, inside, intern"
rápido	"rapid, fast, quick"
incluido	included
absoluto	"absolute, complete, utter"
dispuesto	"disposed/disponible, ready, prepared"
justo	"just, righteous, right"
corto	"short, brief, hard of hearing"
final	"final, end, ultimate"
muerto	"dead, deceased, lifeless"
creado	created
*** 101 - 110 (/course/185945/spanish-adjectives/11/)	
simple	"simple, plain, mere"
considerado	"considered, considerate, thoughtful"
adecuado	"adequate, suitable, appropriate"
formado	"formed, trained"
menudo	"small, thin, slight"
activo	active
duro	"hard, difficult, harsh"
publicado	"published, released, issued"
previsto	"scheduled, provided, predicted"
fácil	"easy, simple, likely"
*** 111 - 120 (/course/185945/spanish-adjectives/12/)	
rico	"rich, wealthy, delicious"
capital	"capital, mortal, seminal"
realizado	"realised, fulfilled, rewarded"
médico	medical
pleno	"full, plenary, complete"
junto	"together, joined, joined together"
ruso	Russian
municipal	"municipal, town/city (related)"
serio	"serious, severe, earnest"
democrático	democratic
*** 121 - 130 (/course/185945/spanish-adjectives/13/)	
listo	"ready, clever, set"
destinado	"destined, bound"
preciso	"precise, necessary, accurate"
sencillo	"simple, easy, straightforward"
específico	specific
cercano	"close, near, nearby"
posterior	"posterior, later/after, subsequent"
mexicano	Mexican
